world_rank,institution,country,national_rank,quality_of_education,alumni_employment
1,Harvard University,USA,1,1,1
2,Stanford University,USA,2,11,2
3,Massachusetts Institute of Technology,USA,3,3,11
4,University of Cambridge,United Kingdom,1,2,10
5,University of Oxford,United Kingdom,2,7,12
6,Columbia University,USA,4,13,8
7,University of California Berkeley,USA,5,4,22
8,University of Chicago,USA,6,10,14
9,Princeton University,USA,7,5,16
10,Yale University,USA,8,9,25
11,Cornell University,USA,9,12,18
12,California Institute of Technology,USA,10,6,303
13,University of Tokyo,Japan,1,17,3
14,University of Pennsylvania,USA,11,21,4
15,University of California Los Angeles,USA,12,27,27
16,Kyoto University,Japan,2,30,23
17,New York University,USA,13,33,21
18,Swiss Federal Institute of Technology in Zurich,Switzerland,1,16,105
19,Johns Hopkins University,USA,14,24,75
20,University of California San Diego,USA,15,32,478
21,University of Michigan Ann Arbor,USA,16,29,19
22,Hebrew University of Jerusalem,Israel,1,15,255
23,Northwestern University,USA,17,151,13
24,Seoul National University,South Korea,1,355,9
25,University of Wisconsin‰ÛÒMadison,USA,18,31,28
26,Duke University,USA,19,65,30
27,University of California San Francisco,USA,20,355,478
28,University of Illinois at Urbana‰ÛÒChampaign,USA,21,34,80
29,University of Texas at Austin,USA,22,92,39
30,University College London,United Kingdom,3,20,406
31,University of Toronto,Canada,1,71,45
32,University of Washington - Seattle,USA,23,89,107
33,Rutgers University-New Brunswick,USA,24,91,33
34,Keio University,Japan,3,271,5
35,Ìäcole normale supÌ©rieure - Paris,France,1,8,478
36,Ìäcole Polytechnique,France,2,150,6
37,Rockefeller University,USA,25,72,478
38,Weizmann Institute of Science,Israel,2,18,478
39,Imperial College London,United Kingdom,4,121,98
40,Waseda University,Japan,4,355,7
41,University of Virginia,USA,26,194,17
42,McGill University,Canada,2,45,32
43,Osaka University,Japan,5,69,36
44,Dartmouth College,USA,27,46,15
45,University of North Carolina at Chapel Hill,USA,28,179,86
46,Pennsylvania State University University Park,USA,29,226,42
47,Ohio State University Columbus,USA,30,93,65
48,Lomonosov Moscow State University,Russia,1,14,210
49,University of Minnesota Twin Cities,USA,31,61,159
50,University of Paris-Sud,France,3,26,410
51,University of Southern California,USA,32,148,74
52,Purdue University West Lafayette,USA,33,81,52
53,University of Pittsburgh - Pittsburgh Campus,USA,34,76,195
54,Carnegie Mellon University,USA,35,25,219
55,Peking University,China,1,355,35
56,University of Edinburgh,United Kingdom,5,42,131
57,University of California Davis,USA,36,47,192
58,Washington University in St. Louis,USA,37,96,145
59,University of Florida,USA,38,212,299
60,University of California Santa Barbara,USA,39,124,252
61,University of British Columbia,Canada,3,85,298
62,University of Utah,USA,40,88,91
63,University of Colorado Boulder,USA,41,75,56
64,University of Notre Dame,USA,42,197,20
65,National Taiwan University,Taiwan,1,113,24
66,University of Texas Southwestern Medical Center,USA,43,50,478
67,Boston University,USA,44,291,47
68,Pierre-and-Marie-Curie University,France,4,36,431
69,University of Manchester,United Kingdom,6,98,73
70,University of Arizona,USA,45,99,62
71,Vanderbilt University,USA,46,108,90
72,Tohoku University,Japan,6,40,241
73,Karolinska Institute,Sweden,1,126,478
74,National University of Singapore,Singapore,1,355,99
75,University of Geneva,Switzerland,2,48,151
76,University of Maryland College Park,USA,47,63,198
77,University of Rochester,USA,48,60,50
78,Emory University,USA,49,355,97
79,University of Copenhagen,Denmark,1,111,143
80,University of California Irvine,USA,50,217,478
81,Brown University,USA,51,56,46
82,Ludwig Maximilian University of Munich,Germany,1,43,156
83,Georgia Institute of Technology,USA,52,123,77
84,Tufts University,USA,53,68,43
85,University of Zurich,Switzerland,3,110,404
86,Tel Aviv University,Israel,3,74,122
87,Tsinghua University,China,2,294,63
88,Utrecht University,Netherlands,1,102,181
89,Ruprecht Karl University of Heidelberg,Germany,2,57,426
90,King's College London,United Kingdom,7,28,173
91,Sapienza University of Rome,Italy,1,66,178
92,Kyushu University,Japan,7,355,41
93,Swiss Federal Institute of Technology in Lausanne,Switzerland,4,355,130
94,Katholieke Universiteit Leuven,Belgium,1,355,225
95,University of Sydney,Australia,1,127,158
96,Tokyo Institute of Technology,Japan,8,208,48
97,University of Melbourne,Australia,2,136,101
98,University of Bonn,Germany,3,23,275
99,Technical University of Munich,Germany,4,38,138
100,Royal Institute of Technology,Sweden,2,185,26
101,Erasmus University Rotterdam,Netherlands,2,355,66
102,Case Western Reserve University,USA,54,44,208
103,University of Alberta,Canada,4,163,144
104,University of Texas MD Anderson Cancer Center,USA,55,355,478
105,Texas A&M University College Station,USA,56,328,94
106,Arizona State University,USA,57,355,478
107,Yonsei University,South Korea,2,355,61
108,Rice University,USA,58,54,313
109,Technion ‰ÛÒ Israel Institute of Technology,Israel,4,41,221
110,University of Helsinki,Finland,1,53,478
111,University of Oslo,Norway,1,139,266
112,Michigan State University,USA,59,112,214
113,Indiana University - Bloomington,USA,60,211,38
114,University of the Witwatersrand,South Africa,1,79,29
115,University of Queensland,Australia,3,265,295
116,Lund University,Sweden,3,132,478
117,Leiden University,Netherlands,3,107,478
118,Georgetown University,USA,61,146,37
119,Aarhus University,Denmark,2,292,188
120,University of Barcelona,Spain,1,355,207
121,Baylor College of Medicine,USA,62,355,478
122,University of Amsterdam,Netherlands,4,182,438
123,University of Bristol,United Kingdom,8,177,242
124,Uppsala University,Sweden,4,62,336
125,University of Iowa,USA,63,223,184
126,Stony Brook University,USA,64,170,478
127,University of Groningen,Netherlands,5,293,265
128,Korea Advanced Institute of Science and Technology (KAIST),South Korea,3,355,85
129,Radboud University Nijmegen,Netherlands,6,118,155
130,Korea University,South Korea,4,355,58
131,University of SÌ£o Paulo,Brazil,1,302,70
132,Nagoya University,Japan,9,67,356
133,University of Colorado Denver,USA,65,355,478
134,University of Montreal,Canada,5,309,460
135,Albert Ludwig University of Freiburg,Germany,5,137,113
136,Ghent University,Belgium,2,115,282
137,University of Glasgow,United Kingdom,9,219,112
138,University of Miami,USA,66,355,152
139,UniversitÌ© libre de Bruxelles,Belgium,3,165,167
140,Paris Diderot University - Paris 7,France,5,117,478
141,McMaster University,Canada,6,210,271
142,University of Birmingham,United Kingdom,10,58,119
143,University of Texas at Dallas,USA,67,355,244
144,VU University Amsterdam,Netherlands,7,355,398
145,Wake Forest University,USA,68,242,59
146,University of Southampton,United Kingdom,11,315,81
147,University of Nottingham,United Kingdom,12,128,148
